City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Vaini,TO,-21.2,-175.2,60.96,94,20,5.75,few clouds
1,San Patricio,US,28.017,-97.5169,84.09,60,5,10.16,clear sky
2,Kapaa,US,22.0752,-159.319,73.72,97,75,16.11,broken clouds
3,Almansa,ES,38.8692,-1.0971,80.69,28,100,10.78,overcast clouds
4,Bathsheba,BB,13.2167,-59.5167,83.03,73,10,19.06,clear sky
5,Dudinka,RU,69.4058,86.1778,35.13,100,100,5.97,overcast clouds
6,Laramie,US,41.3114,-105.5911,59.54,44,0,12.66,clear sky
7,Xichang,CN,27.8964,102.2634,52.52,90,100,1.14,overcast clouds
8,Tasiilaq,GL,65.6145,-37.6368,32.16,97,100,14.32,snow
9,Victoria,HK,22.2855,114.1577,71.65,94,100,5.01,overcast clouds
10,Mataura,NZ,-46.1927,168.8643,35.47,98,13,2.62,few clouds
11,Touros,BR,-5.1989,-35.4608,85.98,65,100,12.8,overcast clouds
12,Barrow,US,71.2906,-156.7887,19.15,87,100,5.66,overcast clouds
13,Chokurdakh,RU,70.6333,147.9167,3.38,97,62,4.83,broken clouds
14,Lazarev,RU,52.225,141.5131,34.68,83,100,13.85,overcast clouds
15,Rikitea,PF,-23.1203,-134.9692,76.8,71,100,19.33,overcast clouds
16,Albany,US,42.6001,-73.9662,71.64,80,95,3.62,overcast clouds
17,Chhabra,IN,24.6667,76.8333,100.62,16,0,11.12,clear sky
18,Annau,TM,37.8876,58.516,79.36,33,0,5.66,clear sky
19,Busselton,AU,-33.65,115.3333,54.99,76,92,5.19,overcast clouds
20,Ponta Do Sol,PT,32.6667,-17.1,78.71,66,54,8.81,broken clouds
21,Bredasdorp,ZA,-34.5322,20.0403,62.56,72,0,10.31,clear sky
22,Jamestown,US,42.097,-79.2353,75.06,72,75,8.05,broken clouds
23,Ushuaia,AR,-54.8,-68.3,40.66,87,0,9.22,clear sky
24,Los Llanos De Aridane,ES,28.6585,-17.9182,69.55,77,20,8.01,few clouds
25,Talant,FR,47.3369,5.0089,83.41,47,0,8.05,clear sky
26,Natal,BR,-5.795,-35.2094,84.85,79,40,11.5,scattered clouds
27,Atuona,PF,-9.8,-139.0333,78.46,76,12,18.1,few clouds
28,Orlik,RU,52.5178,99.825,49.89,38,87,3.42,overcast clouds
29,Sao Filipe,CV,14.8961,-24.4956,79.86,61,47,9.19,scattered clouds
30,Salalah,OM,17.0151,54.0924,85.69,49,0,4.36,clear sky
31,Road Town,VG,18.4167,-64.6167,84.29,69,40,11.5,scattered clouds
32,Tooele,US,40.5308,-112.2983,65.89,59,0,3.44,clear sky
33,Ixtapa,MX,20.7,-105.2,74.43,69,0,3.44,clear sky
34,Bechem,GH,7.0903,-2.025,93.42,41,85,5.32,overcast clouds
35,Melfi,IT,40.9965,15.6514,75.24,51,49,0.78,scattered clouds
36,Luwuk,ID,-0.9516,122.7875,79.43,90,91,0.63,overcast clouds
37,Butaritari,KI,3.0707,172.7902,80.55,75,1,5.01,light rain
38,Gravdal,NO,68.1214,13.5031,39.06,96,100,19.44,overcast clouds
39,Punta Arenas,CL,-53.15,-70.9167,42.12,81,99,10.07,overcast clouds
40,Samarai,PG,-10.6167,150.6667,80.02,80,7,7.67,clear sky
41,Raga,SS,8.4596,25.678,91.24,38,75,3.09,broken clouds
42,Cortez,US,37.3489,-108.5859,74.7,27,0,0.0,clear sky
43,Sao Joao Da Barra,BR,-21.6403,-41.0511,80.69,71,23,15.64,few clouds
44,Puerto Ayora,EC,-0.7393,-90.3518,78.76,93,59,3.0,broken clouds
45,Alofi,NU,-19.0595,-169.9187,76.15,58,100,6.82,light rain
46,Jumla,NP,29.2747,82.1838,57.13,74,67,3.71,broken clouds
47,Thompson,CA,55.7435,-97.8558,33.96,100,100,13.8,mist
48,Kodiak,US,57.79,-152.4072,44.11,49,0,9.22,clear sky
49,Bambous Virieux,MU,-20.3428,57.7575,75.45,78,40,3.44,light rain
50,Goderich,CA,43.7501,-81.7165,51.51,92,93,5.57,overcast clouds
51,Iqaluit,CA,63.7506,-68.5145,22.69,73,22,13.0,few clouds
52,Yellowknife,CA,62.456,-114.3525,39.56,64,100,8.99,overcast clouds
53,Hasaki,JP,35.7333,140.8333,61.29,73,100,8.75,light rain
54,Mar Del Plata,AR,-38.0023,-57.5575,53.62,77,75,16.11,broken clouds
55,Luganville,VU,-15.5333,167.1667,77.36,81,96,10.22,overcast clouds
56,Arraial Do Cabo,BR,-22.9661,-42.0278,78.66,69,75,12.66,light rain
57,Odienne,CI,9.51,-7.5692,100.81,23,98,4.97,overcast clouds
58,Grand Gaube,MU,-20.0064,57.6608,75.6,76,29,3.0,scattered clouds
59,Rio De Janeiro,BR,-22.9028,-43.2075,75.0,83,75,5.75,light rain
60,Hermanus,ZA,-34.4187,19.2345,73.8,51,0,8.86,clear sky
61,Taoudenni,ML,22.6783,-3.9836,106.09,4,14,24.11,few clouds
62,Castro,BR,-24.7911,-50.0119,59.13,93,99,6.82,overcast clouds
63,Tual,ID,-5.6667,132.75,83.62,72,100,7.05,overcast clouds
64,Shinichi,JP,34.55,133.2667,61.38,77,100,3.09,overcast clouds
65,Arinos,BR,-15.9169,-46.1056,89.26,33,29,4.65,scattered clouds
66,Bluff,NZ,-46.6,168.3333,35.8,85,17,6.4,few clouds
67,Mehamn,NO,71.0357,27.8492,40.91,82,83,10.63,broken clouds
68,Provideniya,RU,64.3833,-173.3,34.54,83,32,7.43,scattered clouds
69,Baillif,GP,16.0202,-61.7463,80.1,67,49,14.9,scattered clouds
70,Alboraya,ES,39.5,-0.35,79.77,51,20,9.22,few clouds
71,Sao Gabriel Da Cachoeira,BR,-0.1303,-67.0892,83.59,75,100,1.14,moderate rain
72,Georgetown,MY,5.4112,100.3354,82.33,94,20,0.0,few clouds
73,Centenario Do Sul,BR,-22.8211,-51.5953,64.78,93,99,5.93,overcast clouds
74,Trelew,AR,-43.249,-65.3051,52.52,65,1,18.63,clear sky
75,Adrar,MR,20.5022,-10.0711,105.6,7,14,17.92,few clouds
76,Kushima,JP,31.4583,131.2333,56.43,85,100,4.41,light rain
77,Puerto Colombia,CO,10.9878,-74.9547,86.09,70,100,1.07,overcast clouds
78,San Carlos De Bariloche,AR,-41.1456,-71.3082,49.44,42,0,5.06,clear sky
79,Constitucion,CL,-35.3333,-72.4167,60.73,47,72,2.44,broken clouds
80,Hobart,AU,-42.8794,147.3294,53.46,76,40,17.27,scattered clouds
81,Tuktoyaktuk,CA,69.4541,-133.0374,26.6,86,100,11.5,light snow
82,Cidreira,BR,-30.1811,-50.2056,63.03,93,100,10.92,overcast clouds
83,Hoa Binh,VN,20.8133,105.3383,70.12,92,100,0.45,overcast clouds
84,Hammerfest,NO,70.6634,23.6821,41.45,100,75,5.75,light intensity drizzle
85,Hithadhoo,MV,-0.6,73.0833,83.66,70,92,10.16,overcast clouds
86,Luderitz,NA,-26.6481,15.1594,74.61,37,23,6.33,few clouds
87,Salamiyah,SY,35.0113,37.0532,73.02,49,31,25.61,scattered clouds
88,Ushtobe,KZ,45.2514,77.9838,62.49,62,43,6.55,scattered clouds
89,Mirnyy,RU,62.5353,113.9611,41.13,97,100,7.54,overcast clouds
90,Curup,ID,-3.4667,102.5333,69.76,99,95,1.5,overcast clouds
91,Cabo San Lucas,MX,22.8909,-109.9124,82.51,46,29,3.71,scattered clouds
92,Puerto Del Rosario,ES,28.5004,-13.8627,73.15,68,20,9.22,few clouds
93,Freeport,US,40.6576,-73.5832,71.98,78,20,8.05,mist
