City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Vaini,TO,60.96,few clouds,-21.2,-175.2,Keleti Beach Resort
1,San Patricio,US,84.09,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
2,Kapaa,US,73.72,broken clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
3,Almansa,ES,80.69,overcast clouds,38.8692,-1.0971,Hotel Blu
4,Bathsheba,BB,83.03,clear sky,13.2167,-59.5167,Atlantis Hotel
9,Victoria,HK,71.65,overcast clouds,22.2855,114.1577,Mini Central
15,Rikitea,PF,76.8,overcast clouds,-23.1203,-134.9692,People ThankYou
16,Albany,US,71.64,overcast clouds,42.6001,-73.9662,
18,Annau,TM,79.36,clear sky,37.8876,58.516,"Гостиница ""Уссат инженер"""
20,Ponta Do Sol,PT,78.71,broken clouds,32.6667,-17.1,Hotel do Campo
21,Bredasdorp,ZA,62.56,clear sky,-34.5322,20.0403,Bredasdorp Country Manor
22,Jamestown,US,75.06,broken clouds,42.097,-79.2353,Hampton Inn & Suites Jamestown
24,Los Llanos De Aridane,ES,69.55,few clouds,28.6585,-17.9182,Valle Aridane
25,Talant,FR,83.41,clear sky,47.3369,5.0089,Hôtel Restaurant Campanile Dijon Gare
26,Natal,BR,84.85,scattered clouds,-5.795,-35.2094,Villa Park Hotel | Natal
27,Atuona,PF,78.46,few clouds,-9.8,-139.0333,Villa Enata
29,Sao Filipe,CV,79.86,scattered clouds,14.8961,-24.4956,Hotel Xaguate
31,Road Town,VG,84.29,scattered clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
32,Tooele,US,65.89,clear sky,40.5308,-112.2983,"Holiday Inn Express & Suites Tooele, an IHG Hotel"
33,Ixtapa,MX,74.43,clear sky,20.7,-105.2,hotel la terminal
35,Melfi,IT,75.24,scattered clouds,40.9965,15.6514,HOTEL TERME DI RAPOLLA
36,Luwuk,ID,79.43,overcast clouds,-0.9516,122.7875,Hotel Santika Luwuk
37,Butaritari,KI,80.55,light rain,3.0707,172.7902,Isles Sunset Lodge
40,Samarai,PG,80.02,clear sky,-10.6167,150.6667,Nuli Sapi
42,Cortez,US,74.7,clear sky,37.3489,-108.5859,Sand Canyon National 9 Inn
43,Sao Joao Da Barra,BR,80.69,few clouds,-21.6403,-41.0511,Pousada Porto De Canoas
44,Puerto Ayora,EC,78.76,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
45,Alofi,NU,76.15,light rain,-19.0595,-169.9187,Taloa Heights
49,Bambous Virieux,MU,75.45,light rain,-20.3428,57.7575,Casa Tia Villa
53,Hasaki,JP,61.29,light rain,35.7333,140.8333,Inubosaki Kanko Hotel
55,Luganville,VU,77.36,overcast clouds,-15.5333,167.1667,The Espiritu Hotel
56,Arraial Do Cabo,BR,78.66,light rain,-22.9661,-42.0278,Pousada Porto Praia
58,Grand Gaube,MU,75.6,scattered clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
59,Rio De Janeiro,BR,75.0,light rain,-22.9028,-43.2075,Hotel cruz de ouro
60,Hermanus,ZA,73.8,clear sky,-34.4187,19.2345,Misty Waves Boutique Hotel
63,Tual,ID,83.62,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
64,Shinichi,JP,61.38,overcast clouds,34.55,133.2667,第4信和ビル
69,Baillif,GP,80.1,scattered clouds,16.0202,-61.7463,Hôtel Saint-Georges
70,Alboraya,ES,79.77,few clouds,39.5,-0.35,SH Valencia Palace
71,Sao Gabriel Da Cachoeira,BR,83.59,moderate rain,-0.1303,-67.0892,Alarne - Área De Lazer Do Alto Rio Negro
72,Georgetown,MY,82.33,few clouds,5.4112,100.3354,Cititel Penang
73,Centenario Do Sul,BR,64.78,overcast clouds,-22.8211,-51.5953,Pousada Familiar Paranapanema
79,Constitucion,CL,60.73,broken clouds,-35.3333,-72.4167,Hotel Boutique Las Azucenas
82,Cidreira,BR,63.03,overcast clouds,-30.1811,-50.2056,Hotel Castelo
83,Hoa Binh,VN,70.12,overcast clouds,20.8133,105.3383,Hoa Dao Hotel
85,Hithadhoo,MV,83.66,overcast clouds,-0.6,73.0833,Scoop Guest House
87,Salamiyah,SY,73.02,scattered clouds,35.0113,37.0532,Gondolas Forum grandchildren and grandparents
88,Ushtobe,KZ,62.49,scattered clouds,45.2514,77.9838,Filipin Squad
90,Curup,ID,69.76,overcast clouds,-3.4667,102.5333,Ayi The Costel
91,Cabo San Lucas,MX,82.51,scattered clouds,22.8909,-109.9124,Vista Roof Restaurant
92,Puerto Del Rosario,ES,73.15,few clouds,28.5004,-13.8627,Hotel JM Puerto del Rosario
93,Freeport,US,71.98,mist,40.6576,-73.5832,The Freeport Inn and Marina
94,Laguna,US,72.1,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
96,Hilo,US,70.29,light rain,19.7297,-155.09,Hilo Hawaiian Hotel
97,Port Alfred,ZA,69.19,scattered clouds,-33.5906,26.891,The Halyards Hotel
98,Saint George,US,66.79,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
101,Aksu,CN,68.16,broken clouds,41.1231,80.2644,Pudong Holiday Hotel
104,Avarua,CK,69.85,scattered clouds,-21.2078,-159.775,Paradise Inn
107,Broome,US,73.54,overcast clouds,42.2506,-75.833,Chenango Valley State Park
109,Saint-Philippe,RE,74.79,scattered clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
110,Iquique,CL,62.64,clear sky,-20.2208,-70.1431,Backpacker`s Hostel Iquique
112,Vialonga,PT,72.21,broken clouds,38.8709,-9.0682,VIP Executive Santa Iria Hotel
114,Saint Anthony,US,67.84,clear sky,45.0205,-93.218,"Holiday Inn Express Roseville-St. Paul, an IHG Hotel"
116,Wichita,US,72.55,scattered clouds,37.6922,-97.3375,Courtyard by Marriott Wichita at Old Town
117,Vallenar,CL,71.73,clear sky,-28.5708,-70.7581,Humacao Bed & Breakfast
118,Taunggyi,MM,70.43,overcast clouds,20.7833,97.0333,True Treasure Hotel
119,Bengkulu,ID,78.49,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
120,Kavieng,PG,81.21,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
124,Enid,US,80.31,clear sky,36.3956,-97.8784,Ramada by Wyndham Enid
129,Lilienthal,DE,72.48,clear sky,53.1657,8.9293,Grasberger Hof
130,Kahului,US,74.84,broken clouds,20.8947,-156.47,Maui Seaside Hotel
132,Aljezur,PT,69.85,broken clouds,37.3191,-8.8033,Amazigh Hostel
133,Guerrero Negro,MX,65.89,few clouds,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
136,La Rochelle,FR,78.87,clear sky,46.1667,-1.15,Hôtel Saint Jean d'Acre
140,East London,ZA,66.52,clear sky,-33.0153,27.9116,Tu Casa
142,Srandakan,ID,80.37,broken clouds,-7.9386,110.2506,Puri Brata
144,Divnomorskoye,RU,62.96,clear sky,44.5011,38.1353,Primorskiy
146,Shenjiamen,CN,61.38,overcast clouds,29.9576,122.298,Jinjiang Inn Zhoushan Putuo Shenjiamen
147,Beyneu,KZ,78.4,clear sky,45.3167,55.2,NUR
148,Nata,PA,84.07,scattered clouds,8.3333,-80.5167,Rey David
153,Sola,VU,80.64,overcast clouds,-13.8833,167.55,Leumerus Bungalows
154,Karratha,AU,77.05,clear sky,-20.7377,116.8463,ibis Styles Karratha
159,Isangel,VU,73.74,scattered clouds,-19.55,169.2667,Tanna Lodge
161,Patiya,BD,81.07,broken clouds,22.2931,91.9762,অধ্যক্ষ ইকবাল মোজাদ্দেদী সাহেব এর বাড়ি
168,Balkanabat,TM,80.35,clear sky,39.5108,54.3671,Nebitchi Hotel
169,Rosarito,MX,77.41,overcast clouds,32.3333,-117.0333,Hotel Festival Plaza Rosarito
171,Bethel,US,70.88,overcast clouds,41.3712,-73.414,Courtyard by Marriott Danbury
172,Tura,IN,73.92,scattered clouds,25.5198,90.2201,Hotel RIKMAN Continental
173,Chuy,UY,60.6,overcast clouds,-33.6971,-53.4616,Nuevo Hotel Plaza
174,Warsaw,PL,68.58,clear sky,52.2298,21.0118,Hotel Metropol
176,Kentwood,US,70.12,overcast clouds,42.8695,-85.6448,Hampton Inn Grand Rapids-South
177,Auch,FR,83.88,broken clouds,43.65,0.5833,Hotel Le Domaine De Baulieu
